id_compratore,azienda,indirizzo,cap,citta,stato,fax,telefono,piva,italiano,tipo_pagamento,iva
297,"INTERFOOD POLSKA SP.ZO.O","UL.MADALINSKIEGO 20 1/C","02513","WARSZAWA, POLONIA",,,,"5262385104",0,,
298,"PRIMAVALLE FORMAGGI DI GOVERNI AMPELIO SRL","Via Corradino d'Ascanio 15-17 Loc.Campo Morino","01021","ACQUAPENDENTE (VT)",,,,"01729080562",1,,
304,"TRE ERRE DEI FRATELLI RABAGLIA","VIA XX SETTEMBRE , 12","29121","PIACENZA",,,,"IT 01254650334",1,,
305,"Cascina San Cassiano S.p.a","Corso Piave 182 - Località San Cassiano 4","12051","ALBA (CN)",,,,"02657120040",1,,
307,"LATTERIA SOCIALE VALTELLINA s.c.a.","S.S.STELVIO,139","23014","DELEBIO (SO)",,,,"00071150148",1,,
309,"DANTE GIUMANINI",,,,,,,,1,,
426,"BROOKS MC ROBBIE","43 ST.JOHN STREET","EC1M4LX","LONDON EC1M4LX",,,,"GB 365654428",0,,
433,"ANDROMEDA SRL","via Dante Alighieri,13","86170","ISERNIA (IS)",,,,"00901090944",1,,
436,"Italia Alimentari S.p.A","via Europa 14","43011","Busseto PR",,,,"IT 01797570205",1,,
438,"INDUSTRIA ALIMENTARE LATTE PUCCIO SRL","VIA MONSIGNOR SIINO ,54","90040","CAPACI (PA)",,,,"06210710825",1,,
440,"LATTERIA SOCIALE MANTOVA SOC. AGR. COOP.","VIA F.LLI KENNEDY 48","46047","S. ANTONIO DI PORTO MANTOVANO (MN)",,"0376-396250","0376-390808","00156130205",1,,
444,"ZOOTECNICA DEL PRATOMAGNO SOC. COOP.","VIA DI BICCIANO 29/A","52010","TALLA – AR",,,,"00305060519",1,,
445,"MEWAN FOOD & MORE GmbH","Beusselstr. 44 nq","D- 10553","Berlino",,,"+39 377 772 53 46","DE 285762231",0,,
446,"SALUMIFICIO   VALPOLICELLA   SPA","V.CASA ROSSA, 5","37029","SAN PIETRO IN CARIANO (VR)",,,,"00571640234",1,1,2
225,"GALLI SRL","VIA VERDI, 10","43010","PIEVEOTTOVILLE (PR)",,"0524 95123","0524 95123","00348820341",1,,
447,"CASEIFICIO MOLISE SRL","Zona Industriale","86093","Carpinone (IS)",,"+39 0865 93890"," +39 0865 93895",,1,1,2
449,"LEONE S.r.l.","Via Pasubio, 9","37069","Villafranca di Verona",,"+39 045 6304725","+39 045 6301908","IT03970700237",1,1,2
450,"FOOD FOR ALL di Tonello Mario &C.snc","via  G.GALILEI  6,8","37026","Settimo di Pescantina (VR)",,,,"02261330233",1,,
452,"FRACCARO SPUMADORO SPA","VIA CIRCONVALLAZIONE OVEST, 25/27","31033","CASTELFRANCO VENETO (TV)",,,,"01162650269",1,,
454,"CASEIFICIO FOLLONICA SRL","via del Fonditore, 541","58022","FOLLONICA  (Grosseto)",,,,"00858950538",1,,
455,"AZIENDA AGRICOLA MASSIMO COIZET","via per Cuccaro, 36","15043","FUBINE (Al)",,,,"13406010150",1,,2
456,"Reginella d'Abruzzo srl","Via Aroto, 1","67039","Sulmona L'Aquila",,"+39.0864.56579","+39.0864.33419",,1,1,2
457,"SUDTIROLER SPECK  SRL","via Zagglermoos, 5","39054","SOPRABOLZANO (BZ)",,,,"00231550211",1,,
458,"Pasticceria Josephmary S.r.l.","Via Provinciale 19/a","24040","Lallio Bg",,"035203521","035203081","0287 3690164",1,,2
459,"RUVIOLI SRL","VIA FEROLDI, 23","25026","PONTEVICO (BS), ITALY",,,,"02081870988",1,,
460,"XCHANCE GMBH&CO KG","Baumschulenallee 20-22","30625"," HANNOVER",,"+49  511 52950040","+49  511 52950020","DE275586715",1,3,
461,"F.lli PANIZZI s.a.s di Panizzi Marcello & C","Via Circonvallazione 41","11013","COURMAYEUR(AO)",,,"0165 843041","IT 00558060075",1,1,
463,"G.POZZOLI 1875 SRL","VIA CARDUCCI, 12","20123","MILANO, ITALY",,,,"09835660151",1,,
464,"ELI PROSCIUTTI SPA","VIA PER PARMA, 73","43029","TRAVERSETOLO (PR)",,,,"02403740349",1,,
465,"Caseificio Valchero di E. Cernuschi & C. S.r.l.","Tagliata di Antognano, 4 - Rustigazzo","29018","Lugagnano Val d’Arda, Piacenza",,"+39 0523 809414","+39 0523 807101","01516100334",1,3,
466,"LATTERIE SICILIANE S.r.l.","Via Chiaramonte 1",,"Caltanissetta",,,,"04775880877.",1,3,
468,"GALLI SRL","VIA VERDI 10","43010","PIEVEOTTOVILLE (PR)",,,"0524-95412","IT00348820341",1,,
470,"DULCIOLIVA  SRL","V.F.LLI ROSSELLI, 63","12011","Borgo San Dalmazzo-CN",,,,"02147010041",1,,
473,"DOLCIARIA  CASA  SNC di C.CASA & C.","via per Casale, 28","10038","VEROLENGO, Torino",,,,"02257360012",1,,
474,"VALLE DEI TRULLI SRL CENTRO RACCOLTA LATTE","C.da Figazzano, 145","72014","CISTERNINO, Br",,,,"02282160734",1,,
135,"BARRY CALLEBAUT ITALIA","VIA MILANO FIORI STRADA 1. PALAZZO E/2","20090","ASSAGO (MI)",,"02 57 51 45 51","02 57 51 44 87 102",,1,,
136,"BARRY CALLEBAUT SWITZERLAND","PFINGSTWEIDSTRASSE 60","8005","ZUERICH (CH)",,"+41 432040400","+41 432040404",,0,,
137,"FORMEC BIFFI SPA","VIA BRERA, 16","20121","MILANO",,,,"06530940151",1,,
138,"BISTEFANI GRUPPO DOLCIARIO SPA","VIA OLIVIERO CAPELLO, 22","15033","CASALE MONFERRATO (AL)",,,"02935121","00872060066",1,,
140,"COLUSSI SPA","VIA G.SPADOLINI, 5","20141","MILANO",,"0284784439","02847841","00163800543",1,,
142,"DOLCIARIA LUIGIA E C. SNC DI BAIOCCHI NATALE","VIA RAVENNA, 231","47814","BELLARIA (RM)",,"0541340688","0541346074","02138050402",1,,
143,"DOLCIARIA VAL D'ENZA","VIA DEL CONCHELLO, 43","42026","CIANO D'ENZA, CANOSSA (RE)",,"0522872168","0522872306","01428610354",1,,
144,"ELENKA SPA","VIA PARTANNA MONDELLO, 44","90147","PALERMO",,"091534219","091532740","02822160822",1,,
145,"FORNO D'ASOLO SPA","VIA MULINO, 3","31010","TREVISO",,,"0423918181","00852810266",1,,
146,"DOLCIARIA FRACCARO SPUMADORO SPA","VIA CIRCONVALLAZIONE OVEST, 25/27","31033","CASTELFRANCO VENETO (TV)",,"0423720530","0423491421","01162650269",1,,
147,"G7 SRL","VIA ROMAGNOLI, 19","40010","BENTIVOGLIO (BO)",,"0516640518","0516640144","01750671206",1,,
148,"GALBUSERA SPA","VIALE OROBIE, 9","23013","COSIO VALTELLINO (SO)",,"0342635069","0342609111","00169350147",1,,
153,"ITALIANA BISCOTTI SRL","VIA NICCOLO COPERNICO, 5","44012","ZERBINATE DI BONDENO (FE)",,"0532892916","0532896195","IT01815530389",1,,
154,"LA VIA LATTEA","VIA ROMA 80/C","02041","CASPERIA (PI)",,"076563578","076563731",,1,,
155,"LEAGEL SRL","STRADA DELLE SERIOLE, 55","47894","CHIESANUOVA (REPUBBLICA DI S.MARINO)",,"0549999477","0549999435",,1,,
156,"A. LOACKER SPA",,"39054","AUNA DI SOTTO (BZ)",,,"0471344000",,1,,
476,"Valle d’Aosta Alimenti s.r.l.","Via Gramsci, 10","10123","Torino",,,"+39.0165.171.000.2","08988510015",1,,
477,"ROCCA TOSCANA FORMAGGI SRL","via Puccini , 79","52100","AREZZO",,,,"02232120515",1,,
478,"ALIBERT SRL - TORTELLINI","V.F.LLI BANDIERA , 30","31022","PREGANZIOL, TV-Italy",,,,"03540910282",1,,
479,"LATTERIA  SOCIALE VALTELLINA SCA","Via Statale Stelvio ,139","23014","DELEBIO (SO), Italia",,,,"00071150148",1,,
481,,,,,,,,"rigoni",0,,
482,"FUDEX  GROUP  SPA - SOCIO UNICO","via Reisera,17","10036","SETTIMO T.SE (TORINO), ITALIA",,,,"06570130010",1,,
483,"NUOVA CASTELLI e CAIRATI S.P.A.","via Don Luigi Sturzo, 10","20081","ABBIATEGRASSO (MI)",,"94963733","02.9465497","12297110152",1,,
484,"CASTELLI  SPA","via Merano, 17","20020","LAINATE, Milano",,,,"12175870158",1,,
227,"CENTRALE DEL LATTE DI CESENA","VIA VIOLONE DI GATTOLINO, 201","47522","MARTORANO DI CESENA (FC)",,"0547 384897","0547 380292","00143370401",1,,
485,"GIUSTO  FARAVELLI  SPA","V.MEDARDO ROSSO, 8","20159","Milano, Italy",,,,"03224410153",1,,
486,"LEONE  SRL","via Pasubio, 44","37069","VILLAFRANCA DI VR-ITALY",,,,"03970700237",1,,
488,"AIMOS  FOOD  LTD.","103, James Bourchier Blvd.1st Floor","1407","SOFIA, Bulgaria",,,,"BG201662382",0,,
489,"Argenti Italian Food s.r.l.","Via Mastrodicasa 252","06134","Ponte Felcino (PG)",,,"075 691152","03375140542",1,,
490,"ECOVAL DAIRY TRADE","POSTWEG 50 a","6523 LD","NIJMEGEN, PO BOX 190- THE NETHERLANDS",,,,"NL817335559B01",0,,
494,"TANELLI ELIO SRL","VIA DELLE BATTAGLIE SNC","25017","LONATO DEL GARDA (BS)",,,,"02831430984",1,,
495,"BASSO  SEBASTIANO  SRL","via Vittime del Vajont,21","31031","CAERANO DI S.MARCO-TV",,,,"IT00786860262",1,,
496,"HOOGWEGT CHEESE B.V.","Groningensingel, 1","6835 EA","ARNHEM , Olanda",,,,"NL817485983B01",0,,
497,"GERIS   BV","JAN TOOROPSTRAT 3A","5753","DK DEURNE",,,,"NL819271160B01",0,,
498,"RAINBOW  SRL","via Breda,55 A","29010","MONTICELLI D'ONGINA-PC,ITALY",,,,"IT04339340269",1,,
501,"SAN SILVESTRO SS.SOC.AGR.","VIA MOLZA, 1906","41018","SAN CESARIO SUL PANARO (MO), ITALY",,,,"02828960365",1,,
502,"CEREALVIT   SRL","via Grandi,22","20060","TRUCCAZZANO, Mi-Italie",,,,"09139490156",1,,
503,"BERTONI SRL","via E.Dalai, 17","42045","LUZZARA, RE",,,,"IT01238960353",1,,
505,"PASTIFICIO BOLOGNESE SRL","Via Cà dell'Orbo Nord, 13","40055","Villanova di Castenaso (BO)",,,,"02219931207",1,,
508,"Agricola Tre Valli Società Cooperativa a R.L.","Via Valpantena 18/G","37142","Verona",,"059447380","059447218","02447620234",1,,
509,"VECCHIO VARZI SRL","Via Castelletto, 11","27057","Varzi, PV",,,,"01780320188",1,,
511,"ALBERT  SRL","V.SAN ZUANE 4/A","31059","SCANDOLARA di Zero Branco (TV), Italy",,,,"01595020270",1,,
513,"GASTRONOMICA ROSCIO SRL","VIA MADONNINA, 32","27018","VIDIGULFO (PV)",,,,"01112270184",1,2,
514,"FOOD MILK SRL","V.PANEBIANCO,293-Zona Industriale Pianolago","87050","Figline Vigliaturo (Cosenza),Italy",,,,"03266170780",1,,
515,"PASTIFICIO VALLEORO SRL","VIA DELLE VALLI, snc","04011","APRILIA, Italy",,,,"12964291004",1,,
516,"SALUMIFICIO ALIPRANDI","Via Mandolossa 25","25064","GUSSAGO (BS)",,,,"IT03162330173",1,,
226,"AGRISOLE SRL CASEIFICIO","VIA FONTANELLE, 81","80051","AGEROLA (NA)",,"081 8731022","081 8731022",,1,,
517,"SALUMIFICIO PANZERI SRL","VIA ROGANTI","23020","PROSTO PIURO (SO)",,,,"IT00770170140",1,,
518,"Azienda Agricola “Il Mulino” di Enrico Codara","Frazione San Martino 167-177","17044","Stella (SV)",,,,"IT00663510097",1,,
519,"Diano Latte S..R.L.","Via Mautoni 11","84038","Sassano, SA",,,"+39 0975 72502","04077060657",1,,
520,"Melkrichting Kruishoutem (MIK) NV","Hoogstraat 25","B-9770","Kruishoutem (Belgium)",,"+32(9)333 93 94","+32(9)333 93 99","BE 0411107873",0,,
521,"DIE  KAESEMACHER  GMBH","Europastrasse, 5","3902","VITIS, Austria",,,,"ATU 57460928",0,,
522,"DIMITAR MADJAROV - 2 LTD.","3,''ILYO VOIVODA'' STR.","4000","PLOVDIV, BULGARIA",,,,"BG 115033847",0,,
523,"FORGRANA CORRADINI SPA","V. 200 BIOLCHE, 6","42016","GUASTALLA,RE-ITALY",,,,"00141480350",1,,
525,"IMP.EX. CARRARO SRL","VIA VENEL, 10/12","31010","CIMADOLMO (TV) , ITALY",,,,"00806980264",1,,
526,"TRIMAS  ILIAS  &  CO","2 VEAKI Str.","42100","TRIKALA, Greece",,,,"997829044",0,,
527,"SOALCA SRL","Via Cerrani, 13 B","66016","Pretorio (CH)",,,,"01500850696",1,,
528,"CAPOFERRI FORMAGGI S.n.c. di Capoferri Aldo & C.",": P.zza Umberto I, n.2","24060"," Adrara San Martino (BG), Italy",,,,"00922830161",1,,
529,"CANTI E ROSSI SRL","V.Arturo Chiari, 18- 44 – 46 – 48","52100","AREZZO, ITALY",,,,"01562300515",1,,
530,"Elenka spa - Industria Derivati Naturali","Via Partanna Mondello, 46","90147"," Palermo, Italy",,,,"02822160822",1,,
532,"PRAMSTRAHLER SRL","Frazione Prato All'Isarco","39050","Fiè Allo Sciliar (BZ)",,,,"IT01711630218",1,,
535,"AROMATAGROUP SRL","Via C. Romani, 35","20091","BRESSO (MI)",,,"0039 84186511","01563600152",1,,
536,"BIO AUSTRIA OO HANDEL & DIENSTLEISTUNG GMBH","Aug Der Gugl, 3","4020","Linz",,,,"ATU68377259",0,,
537,"TITAN  SERVICE  San Marino","Via Lorenzo Tabellione n.1","47891"," Rovereta- Repubblica di San Marino",,,,"SM 03334",1,,
539,"Frabes S.p.A.","via XXV Aprile, 2","25038","Rovato (BS) , Italie",,,," 02387990985",1,,
540,"Montalbano Industria Agroalimentare S.p.A.","Via Gerbamaggio, 14","51035","51035 Lamporecchio (PT)",,,,"01275600474",1,,
541,"CASEIFICIO GHIDETTI S.r.l.","VIA VIVALDI, 201","37050","ISOLA RIZZA (VR)",,,,"02360280230",1,,
542,"SALUMIFICIO F.LLI BERETTA SPA","TREZZO SULL ADDA","22056",,,,,"IT00208950139",1,,
543,"GROUPE LACTALIS Etablissement ACHAT LAIT","10 à 20 rue Adolphe Beck","53089","LAVAL CEDEX 9",,,,"FR0H331142554",0,,
544,"BRIOIS SAS","Zi de l'Alouette Rue Francois Jacob","62800","LIEVIN-France",,,,"Fr 61441388881",0,,
232,"TORRONALBA SRL","LOC. CATENA ROSSA, 13","12040","PIOBESI D'ALBA (CN)",,"0173 286813","0173 361140","00244870044",1,,
548,"S.A.S.  PHILIPPE CHARRIER","Allés des Sapins","44483","CARQUEFOU, cedex France",,,,"FR 14 322 396896",0,,
551,"IANNINO SRL","V.ROMA snc","02010","Castel Sant'Angelo-RIETI, Italy",,,,"00949850572",1,,
553,"SALUMIFICIO MOTTOLINI","VIA LOZZONI 5","23030","POGGIRIDENTI",,,,"IT00622710143",1,,
555,"BURRIFICIO ENRICO CRESPI SAS","v.Regina Margherita,9","20853","S.Giorgio di Biassono MB",,,,"00762880961",1,,
556,"SOLAR  FARM  SOC., AGR.","V.Brigata Ebraica, 50","48123","MEZZANO, RAVENNA",,,,"02369250390",1,,
557,"PASTE ALIMENTARI FRESCHE Brema Group Srl","v.Fornace,20","35010","S.Pietro in GU/PD-Italia",,,,"02384270282",1,,
558,"PERNIGOTTI SPA","V.le della Rimembranza, 100","15067","NOVI LIGURE (AL),ITALY",,,,"00151520061",1,,
559,"SALUMIFICIO NINO GALLI SPA","VIA S.ANNA","28881","CASALE CORTE CERRO (VB)",,,,"IT00861400034",1,,
560,"BOME' SRL","VIA AL BEN 3/G","38085","PIEVE DI BONO - PREZZO (TN)",,,,"IT00369120225",1,,
561,"RONDANINI SRL","via E.Curiel, 35","20020","BUSTO GAROLFO - MI",,,,"03842320164",1,,
562,"CARIONI FOOD & HEALTH SRL","V.DESGIOI, 5","26017","TRESCORE CREMASCO",,,,"01615070198",1,,
563,"DINO CORSINI SRL","VIA G.BRODOLINI 4","40050","Loc.Crespellano Valsamoggia BO ITALY",,,,"01722521208",1,,
564,"MARIO COSTA S.P.A.","Via dell'Industria, 26 - Località Orfengo","28060","CASALINO (NO)",,,,"IT00120480033",1,13,
565,"Caseificio Zanoletti S.s.a.","STRADA GANDINE 21","25016","GHEDI (BS)",,,,"03391540170",1,,
566,"EMME ERRE S.R.L. UNIPERSONALE","Via M. Micheli, 7","25124","Brescia",,,,"03933040986",1,,
568,"B2B INTERTRADE GMBH","Ludwig -Erhard- Allee 20","D-33719","BIELEFELD Germany",,,,,0,,
569,"JOMI SPA","viale degli Aranci 33","80067","SORRENTO - NA",,,,"IT02898800657",1,,
570,"CRASTAN SPA","Via Maremmana , 24-Zona industriale GELLO","56025","PONTEDERA ( PISA ) Italy",,,,"IT00424920502",1,,
571,"CASEIFICIO VALCORNO SRL","Via della Cooperazione 39","33030","Coseano (UD)",,,,"02841740307",1,,
572,"Rinner Alexander & Co. SAS Rinner","via Principale, 58","39021","Laces (BZ)",,,,"IT01192160214",1,,
573,"Suincom SPA","Str.Comunale del Cristo 12/14","41014","Castelvetro di Modena",,,,"IT00995820362",1,,
574,"I Fratelli Emiliani SPA","via Don Corchia","43013","Langhirano (PR)",,,,"IT00699040341",1,,
577,"DOLCIARIA CASA SNC","VIA PER CASALE, 28","10038","VEROLENGO-TO, ITALY",,,,"02257360012",1,,
578,"ZANETTI SPA","Via Madonna, 1","24040","LALLIO ( BG ) - Italy",,,,"00373690163",1,,
580,"BESTMILK SP. Z O.O","Ul.Twarda 18/11","00-105","WARSZAWA, Poland",,,,"PL 5170276608",0,,
238,"TORINOGELATO S.R.L.","VIA DELL'ARSENALE, 41","10121","CASTELFRANCO VENETO (TV)",,"011 19710163","011 19710163","10699660014",1,,
581,"CASEIFICIO CAMPIOTTI & C.","via Villanuova, 12 fraz. Ludriano","25030","ROCCAFRANCA - BS,Italy",,,,"IT00637360983",1,,
582,"PROSCIUTTIFICIO LEONARDI SRL","Via Fondovalle 2955","41054","Merano su Panora (MO)",,,,"IT01832550360",1,,
584,"Caseificio Sociale Manciano Soc. Agr. Coop.","Loc Piano di Cirignano - Podere Fedeletto","58014","58014 - Manciano (GR)",,,,"00080580533",1,,
585,"KARNETA Gmbh","Suedring 334","3020","Klagenfurt Austria",,,,"ATU40848008",0,,
586,"healthy planet GmbH","Borsigstr. 15","D-65205","D-65205 Wiesbaden, Germany",,,,"DE 241 320 600",0,,
587,"TREVISANALAT S.p.A.","via Roma 111/109 - 31023 Resana (TV)","31023","Resana (TV), Italie",,,,"07552090966",1,,
590,"PASTIFICIO STROPPA s.r.l.","Via Sardegna, 38/42","38/42","20090 Fizzonasco di Pieve Emanuele (MI)",,,,"IT03611370960",1,,
592,"Kaskat Sp. z o.o.","HUSARSKA STREET,10","66-400","GORZOW,WLKP-POLAND",,,,"PL 599 24 15 208",0,,
593,"PAPPABUONA.COM SRL","Via Bertolini Donnino, 29","29122","PIACENZA",,,,"IT01406300333",1,,
594,"XCHANCE  ITALIA  SRL","Viale G.Marconi , 9","25088","25088 Toscolano Maderno (BS) , Italie",,,,"03708420983",1,,
596,"PLU.GI. Srl","VIA PRIVATA UMBERTO FRACCHIA, 6","20125","MILANO",,,," IT07114100964",1,,
597,"Pastificio Rana S.p.A.","via Pacinotti, 25","37057","37057 San Giovanni Lupatoto (Verona) Italy",,,,"01397480235",1,,
598,"HOCHREITER FLEISCHWAREN GMBH","KOMUNESTR.1","4190","BAD LEONFELDEN",,,,"ATU58071589",0,,
599,"DAIRY HUB sp. z o.o.","Pl. Inwalidów","10 01-552","01-552 Warsaw- Poland",,,,"PL5252762829",0,,
602,"LAKTOS a.s.","Nová cesta , 17","  140 00","Prague 4",,,,"CZ 26460726",0,,
603,"SC MARGARITA FORMAGGI SRL","Calea Marasesti nr. 171 – BACAU (ROMANIA)",,"Calea 6 Vanatori nr. 55 – 310161 ARAD (ROMANIA)",,,,"RO30153715",0,,
606,"LA COTTURA DI POLONI SRL","VIA BALICCO, 3","24057","MARTINENGO",,,"3388310327","03469340164",1,,
609,"SALUMI VIDA SAS","Via dei Laghi, 28","33040","Torreano (UD)",,,,"02955260308",1,,
611,"CASEIFICIO F.LLI NOBILI S.R.L.","Via Enrico Fermi, 13","35030","Sarmeola di Rubano (PD)",,,,"00227840287",1,,
239,"BRAVO SPA","VIA DELLA TECNICA, 5","36075","MONTECCHIO MAGGIORE (VI)",,"0444 499333","0444 707700","01331990240",1,,
612,"NUOVA LATTE VENETO","via campagnol, 568/b",,"SALIZZOLE VERONA",,,,"04628640239",1,,
613,"Caseificio Madonna delle Grazie S.n.c.","Contrada Crocevie, 6-97015 Modica (Rg)","97015","97015 Modica (Rg), Italy",,,,"00405350885",1,,
614,"CASEIFICIO MONTEGRAPPA SRL","Via Giare,5","31017","Crespano del Grappa (TV)",,,,"03937270266",1,,
616,"PAGANONI SRL","Via Omobono Cenini, 19","23030","Chiuro (SO)",,,,"IT00583060140",1,,
618,"MORGANTE SRL","Via Aonedis,3","33038","San Daniele del Friuli",,,,"00050970318",1,,
619,"Ets. Freddy Baines","St. Katelijnevest 54","2000","2000 Antwerpen (Belgium)",,,," BE 0404815048",0,,
620,"SARGRA SRL","Località Possilva","07047","THIESI (SS)",,,,"01692180902",1,,
621,"Sára MT s.r.o","	A.Stodolu 5205/25","03601 Martin"," Martin- Slovenská Republika",,,,"SK2121163187",0,,
622,"Sára MT s.r.o","A.Stodolu 5205/25-03601 Martin",,"03601 Martin- SK",,,,"SK2121163187",0,,
623,"Poggio del Farro srl","Via PIETRAMALA-Mazzetta 670/A","50033","50033 Firenzuola (FI) – Italia",,,,"05703770486",1,,
624,"QORES SRL","Via Olona , 73","20015","PARABIAGIO -- MILANO",,,,"09718140966",1,,
626,"NORBALAT SRL","Via Dell’ulivo, 5","70014","Conversano (Ba)",,,,"06768590728",1,,
627,"CASEIFICIO TOSCANO SRL","VIA ARCHIMEDE 42","57027","SAN VINCENZO (LI)",,,,"01602830539",1,,
630,"I.P.A.S. S.r.l.","Via Privata San Giorgio n.1","20866","20866 Carnate (MB) - Italia",,,,"PI 03076120967",1,,
631,"LATTERIA MONTANARI SRL","VIA AQUILEIA, 2","34070","34070 VILLESSE (GO)",,,,"P.I. 01168180311",1,,
632,"Zoogamma S.p.A.","Strada Borgosatollo 5/A - 25016 Ghedi (BS) Italy","25016","Ghedi (BS) Italy",,,,"02439330230",1,,
634,"CENTRALE DEL LATTE D'ITALIA SPA","VIA FILADELFIA 220","10137","TORINO",,,"011 3240220","IT01934250018",1,,
635,"KONDOV ECOPRODUCTION LTD.","LIUBOTRAN STREET, 9","1407","SOFIA / BULGARIA",,,,"BG110003234",0,,
636,"ÓVÁRTEJ Zrt.","Alkotmány utca 15","9200","9200 Mosonmagyaróvár- HU",,,,"HU 11467807",0,,
637,"CITTÀ DEL GELATO S.r.l.","Via Tommaso Fiore, 3","70015","70015 Noci (BA)",,,,"07378410729",1,,
638,,,,,,,,,1,,
240,"ALMAR DRINK & FOOD SRL","VIA CILEA 21/23","20093","COLOGNO MONZESE (MI)",,"02 2532935","02 2547777","IT07312830966",1,,
644,"RIGAMONTI SALUMIFICIO SPA","VIA STELVIO 973","23020","MONTAGNA IN VALTELLINA (SO)",,,,"00079510145",1,,
645,"Leguna GmbH","Bahnhofstraße 2,","A-5270"," Mauerkirchen",,,,"ATU81201469",0,,
647,"Sperikotta s.a.s. di G. D'Agostino & C.","Via Seneca, 7","92020","San Biagio Platani (Agrigento) Italy",,,,"02089980847",1,,
648,"FOODMILK SRL","Zona Industriale Pianolago","87050","87050 Figline Vegliaturo(CS)",,,,"03266170780",1,,
650,"CHOCOLITALY SRL","Via San Carlo, 9- 20008 BAREGGIO (MI) - ITALY","2008","BAREGGIO (MI) - ITALY",,,,"08281980964",1,,
651,"ZARPELLON",,,,,,,,0,,
653,"Industria Latticini G. Cuomo","Via delle Scienze, 6","04011","04011 Aprilia (LT), Italy",,,,"00082440595",1,,
654,"Casearia Albi Snc,di Albi Alfonso e Francesco","Via Verde, 37030 Velo Veronese VR, Italy","37030","Velo Veronese VR, Italy",,,,"02852160239",1,,
655,"REPARO SRL","VIA DANTE ALIGHIERI,  7","07012","BONORVA (SS), ITALIA",,,,"01852180908",1,,
656,"SONCINI ESTONIA OU","NARVA MNT 5","10117","TALLINN",,,,"EE101970961",0,,
657,"RUMI DAIRY INTERNATIONAL","RUE DE LA CORDERIE - CENTRA 312","94586","RUNGIS CEDEX",,,,"FR49712025279",0,,
658,"QUALIA LACTEOS,  SL","Ctra. de Puertollano, s/n","13580","Almodóvar del Campo (Ciudad Real) , SPAIN",,,,"B13122122",0,,
660,"YEP SRL","VIA MARIO PONZIO 7","27100","PAVIA - ITALY",,,,"02691750182",1,,
661,"BRISTOT S.R.L.","VIA DI FUGNANO 20","53037","SAN GIMIGNANO SI",,,,"01334600523",1,,
664,"Gelinova Group Srl","Via XXV Luglio, 8","31028","31028 Vazzola TV",,,," 03762010266",1,,
665,"BIANCHINI SRL","via C. Marx 36/44","51035"," Lamporecchio (PT) Italy",,,,"01738000478",1,,
667,"URIEK -2001 LTD.","2, CHERVENA SKALA STR.","2850","2850 PETRICH (BLAGOEVGRAD)",,,,"BG101566098",0,,
668,"Zerodue S.r.l.","via Giacinto Bruzzesi 37","20146","MILANO",,,,"02559660036",1,,
669,"LATTERIA VESUVIANA SRL","VIA M.C. ROMERO, 65","80048","80048 SANT'ANASTASIA (NA)",,,,"0472175121",1,,
671,"BURRO E FORMAGGI GIOVE SRL","V.LOBEFARO, 2","70029","  SANTERAMO IN COLLE, BARI",,,,"06884860724",1,,
672,"WINCO Tecnologie Alimentari srl","via Adige 10/A,","26034","26034 - Piadena (CR), Italy",,,,"03896070988",1,,
673,"Pasticceria Veneta s.r.l","Via Risorgimento, 66","30010","Pegolotte di Cona (VE)",,,,"02762600274",1,,
674,"BMB SRL","Via Muzza Spadetta, 43","40053","Bazzano 40053 
Valsamoggia (BO) Italy",,,,"03629581202",1,,
241,"FRUCTITAL SRL","VIA CIRCONVALLAZIONE, 20","10060","BURIASCO (TO)",,"012156597","012156587","05588570019",1,,
676,"DEA  Società Benefit SRL","Loc. La Valle, snc","01035","01035 GALLESE ( VT ),",,,,"IT01817240565",1,,
677,"ADG shpk","Fshati BishqethemAutostrada Lushnje-Fier,",,"Lushnje-Albania.",,,,"K33804402L",0,,
679,"GRUPPO GRIFO AGROALIMENTARE SOC.AGR.COOP.","Strada Comunale de' Loggi 59","06135","PERUGIA",,,,"00162070544",1,,
680,"EMILIA srl","VIALE ORIANI N31","40137","40137 BOLOGNA",,,,"08766741212",1,,
681,"Scaldis Food BV","Stationsstraat 5","4571","4571 LA Axel, NL",,,,"NL 858512440B01",0,,
682,"COMPRITAL S.P.A.","Via Verdi, 53","20049","20049 SETTALA MI",,,,"07635090157",1,,
683,"LATTERIE  RAGUSANE  SPA","VIA DEL RIALE, 24  C/O CAPRARA","20015","PARABIAGO, MILANO",,,,"12932820967",1,,
684,"LM COMMERCE S.R.L.","Piazza G. Matteotti,7","80133","80133 Napoli,    Italy",,,," 08499321217",1,,
685,"FORMAGGERIA TOSCANA S.r.l.","Via D'Oratoio, 63","56121","56121 Pisa (PI), ITALY",,,,"02125920500",1,,
686,"FRANCIACORTA CREME S.P.A.","via MANDALOSSA ,80","25064","GUSSAGO",,,,"00944740174",1,,
687,"PERLA ALIMENTARE S.R.L","VIA ARDICHETTO SN"," 95019"," 95019 ZAFFERANA ETNEA CT IT",,,,"02670560875",1,,
688,"BRUSA SRL","Via Ferruccio Nazionale, 3","13900","BIELLA, ITALY",,,,"00219460029",1,,
689,,,,,,,,,1,,
691,"BASA FOOD S.R.L.","VIA VINCENZO GIOBERTI 8","20100","20100 MILANO (MI)",,,,"09565170967",1,,
693,"Sfoglia Torino srl","via Nevizzano 8,","14021","14021 Buttigliera d'Asti (AT) Italia",,,," 02275840011",1,,
